designer,perfume_count,average_rating,min_rating,max_rating
gobin daudé perfumes and colognes,1,5.0,5.0,5.0
allen shaw perfumes and colognes,1,5.0,5.0,5.0
yu parfums perfumes and colognes,1,5.0,5.0,5.0
le cult 1944 perfumes and colognes,1,5.0,5.0,5.0
prisma parfums perfumes and colognes,1,5.0,5.0,5.0
prince war perfumes and colognes,1,5.0,5.0,5.0
victoria perfumes perfumes and colognes,1,5.0,5.0,5.0
la bonte paris perfumes and colognes,1,5.0,5.0,5.0
viali perfumes and colognes,1,5.0,5.0,5.0
gocce di byron perfumes and colognes,1,5.0,5.0,5.0
pom pom collection perfumes and colognes,1,5.0,5.0,5.0
albidaa perfumes and colognes,1,5.0,5.0,5.0
melogranoantico profumeria botanica perfumes and colognes,1,5.0,5.0,5.0
chlorophylla perfumes and colognes,1,5.0,5.0,5.0
sanchez perfumes and colognes,1,5.0,5.0,5.0
velvet sam perfumes and colognes,1,5.0,5.0,5.0
rue 37 perfumes and colognes,1,5.0,5.0,5.0
tayyib perfumes and colognes,1,5.0,5.0,5.0
ajne perfumes and colognes,1,5.0,5.0,5.0
lengling perfumes and colognes,1,5.0,5.0,5.0
les cakes de bertrand perfumes and colognes,1,5.0,5.0,5.0
coronation ambergris perfumes and colognes,1,5.0,5.0,5.0
alrehab oriental perfumes and colognes,2,5.0,5.0,5.0
maison douze perfumes and colognes,1,5.0,5.0,5.0
magister collection perfumes and colognes,1,5.0,5.0,5.0
asama perfumes perfumes and colognes,1,5.0,5.0,5.0
angela flanders perfumes and colognes,1,5.0,5.0,5.0
manzana paris perfumes and colognes,1,5.0,5.0,5.0
narcisse taormina perfumes and colognes,1,5.0,5.0,5.0
who am i perfumes and colognes,1,5.0,5.0,5.0
aura de arabia perfumes and colognes,1,5.0,5.0,5.0
amway perfumes and colognes,1,5.0,5.0,5.0
avatim perfumes and colognes,1,5.0,5.0,5.0
rare raise fragrance perfumes and colognes,1,5.0,5.0,5.0
b fragrances perfumes and colognes,1,5.0,5.0,5.0
lord milano perfumes and colognes,1,5.0,5.0,5.0
nayara perfumes and colognes,1,5.0,5.0,5.0
liushen 六神 perfumes and colognes,1,5.0,5.0,5.0
radioactive mushrooms in the forest perfumes and colognes,1,5.0,5.0,5.0
lexington perfumes and colognes,1,5.0,5.0,5.0
julie burk perfumes perfumes and colognes,1,5.0,5.0,5.0
nimany perfumes and colognes,1,5.0,5.0,5.0
cortina 1224 perfumes and colognes,1,5.0,5.0,5.0
ebba los angeles perfumes and colognes,1,5.0,5.0,5.0
mobius fragrances 莫比乌斯 perfumes and colognes,1,5.0,5.0,5.0
ilya parfums perfumes and colognes,1,5.0,5.0,5.0
one day perfumes and colognes,1,5.0,5.0,5.0
fa'ra perfumes and colognes,1,5.0,5.0,5.0
emes perfumes and colognes,1,5.0,5.0,5.0
fantôme perfumes and colognes,1,5.0,5.0,5.0
elysian perfumes and colognes,1,5.0,5.0,5.0
fen perfumes perfumes and colognes,1,5.0,5.0,5.0
j.hannah co. perfumes and colognes,1,5.0,5.0,5.0
eligia perfumes and colognes,1,5.0,5.0,5.0
elemento mineral perfumes and colognes,1,5.0,5.0,5.0
odorata perfumes and colognes,2,5.0,5.0,5.0
etude house perfumes and colognes,1,5.0,5.0,5.0
o-twist perfumes and colognes,1,5.0,5.0,5.0
flora perfumes and colognes,1,5.0,5.0,5.0
fratelli diamanti perfumes and colognes,1,5.0,5.0,5.0
dayna decker perfumes and colognes,1,5.0,5.0,5.0
novae plus perfumes and colognes,1,5.0,5.0,5.0
mon petit paradis perfumes and colognes,1,5.0,5.0,5.0
nova perfumes and colognes,1,5.0,5.0,5.0
giorgio beverly hills perfumes and colognes,1,5.0,5.0,5.0
cristian brinck perfumes and colognes,1,5.0,5.0,5.0
schlossparfumerie perfumes and colognes,1,5.0,5.0,5.0
parfumerie bruckner perfumes and colognes,2,4.9399999999999995,4.88,5.0
velvet & sweet pea’s purrfumery perfumes and colognes,2,4.875,4.75,5.0
nez perfumes and colognes,1,4.86,4.86,4.86
maison anthony marmin perfumes and colognes,2,4.835,4.67,5.0
hez parfums perfumes and colognes,1,4.83,4.83,4.83
rave perfumes and colognes,1,4.83,4.83,4.83
western valley avenue london perfumes and colognes,1,4.8,4.8,4.8
wood moss perfumes and colognes,1,4.8,4.8,4.8
il profvmo perfumes and colognes,1,4.8,4.8,4.8
giorgio monti perfumes and colognes,1,4.75,4.75,4.75
my inner island parfums perfumes and colognes,1,4.75,4.75,4.75
blue scents perfumes and colognes,1,4.75,4.75,4.75
joaquin cortes perfumes and colognes,1,4.75,4.75,4.75
toni cabal perfumes and colognes,2,4.75,4.5,5.0
reine de saba perfumes and colognes,1,4.75,4.75,4.75
jean d'albret perfumes and colognes,2,4.75,4.5,5.0
sigilli perfumes and colognes,1,4.75,4.75,4.75
vestov perfume perfumes and colognes,2,4.734999999999999,4.67,4.8
malanotte perfumes and colognes,1,4.71,4.71,4.71
guepard perfumes and colognes,1,4.71,4.71,4.71
ensar oud perfumes and colognes,4,4.71,4.31,5.0
m8 moods perfumes and colognes,1,4.67,4.67,4.67
gaia parfums perfumes and colognes,1,4.67,4.67,4.67
guy fox perfumes and colognes,1,4.67,4.67,4.67
l'eau de cassis perfumes and colognes,1,4.67,4.67,4.67
plantes & parfums perfumes and colognes,2,4.67,4.67,4.67
la ric perfumes and colognes,1,4.67,4.67,4.67
cuarzo the circle perfumes and colognes,1,4.67,4.67,4.67
emper perfumes and colognes,1,4.67,4.67,4.67
compagnie royale des indes orientales perfumes and colognes,1,4.67,4.67,4.67
wally perfumes and colognes,1,4.67,4.67,4.67
montroi perfumes and colognes,1,4.67,4.67,4.67
charleston girl perfumes and colognes,1,4.67,4.67,4.67
accord parfait perfumes and colognes,1,4.67,4.67,4.67
mark des vince perfumes and colognes,1,4.67,4.67,4.67
al aneeq perfumes and colognes,1,4.67,4.67,4.67
blosson ville perfumes and colognes,2,4.665,4.33,5.0
emirates pride perfumes perfumes and colognes,3,4.663333333333333,4.17,5.0
o'driu perfumes and colognes,2,4.66,4.57,4.75
la prairie perfumes and colognes,1,4.65,4.65,4.65
pana dora perfumes and colognes,1,4.65,4.65,4.65
al musbah perfumes and colognes,2,4.625,4.5,4.75
segredos de perfumaria perfumes and colognes,1,4.62,4.62,4.62
abdul samad al qurashi perfumes and colognes,2,4.615,4.4,4.83
dumont perfumes and colognes,1,4.61,4.61,4.61
lothantique perfumes and colognes,1,4.6,4.6,4.6
"hové parfumeur, ltd. perfumes and colognes",1,4.6,4.6,4.6
calypso christiane celle perfumes and colognes,1,4.6,4.6,4.6
too faced perfumes and colognes,1,4.6,4.6,4.6
pantarei perfumes and colognes,1,4.59,4.59,4.59
l.t. piver perfumes and colognes,3,4.583333333333333,4.08,5.0
sophie nerval perfumes and colognes,1,4.58,4.58,4.58
helder machado perfumes perfumes and colognes,1,4.57,4.57,4.57
casaniche perfumes and colognes,1,4.57,4.57,4.57
deborah perfumes and colognes,1,4.57,4.57,4.57
arshia parfums perfumes and colognes,1,4.56,4.56,4.56
catherine omai perfumes and colognes,1,4.56,4.56,4.56
trnp perfumes and colognes,2,4.555,4.44,4.67
voskanian parfums perfumes and colognes,2,4.55,4.1,5.0
urban outfitters perfumes and colognes,1,4.54,4.54,4.54
lucien lelong perfumes and colognes,1,4.53,4.53,4.53
orla kiely perfumes and colognes,1,4.53,4.53,4.53
huggies® perfumes and colognes,1,4.53,4.53,4.53
norma kamali perfumes and colognes,1,4.52,4.52,4.52
signature fragrances perfumes and colognes,1,4.5,4.5,4.5
perlier perfumes and colognes,1,4.5,4.5,4.5
laura mercier perfumes and colognes,1,4.5,4.5,4.5
bluehill perfumes and colognes,1,4.5,4.5,4.5
doktor michalis s.a perfumes and colognes,1,4.5,4.5,4.5
sofia belluci profumi perfumes and colognes,1,4.5,4.5,4.5
la chantee perfumes and colognes,2,4.5,4.0,5.0
christian breton perfumes and colognes,1,4.5,4.5,4.5
ahjaar perfumes and colognes,1,4.5,4.5,4.5
lancetti perfumes and colognes,1,4.5,4.5,4.5
joan rivers perfumes and colognes,1,4.5,4.5,4.5
marquay perfumes and colognes,1,4.5,4.5,4.5
scent by the sea perfumes and colognes,2,4.5,4.0,5.0
ainash parfums perfumes and colognes,2,4.5,4.0,5.0
